City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Pokhara,NP,79.72,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
136,Katsuura,JP,78.08,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
142,Evansville,US,80.6,clear sky,37.9748,-87.5558,Le Merigot Hotel
148,Namatanai,PG,85.59,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
149,Rach Gia,VN,79.56,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
157,Mecca,SA,84.54,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
161,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
164,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
168,Gigmoto,PH,86.29,overcast clouds,13.7796,124.39,Cj's Travellers Inn
173,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
175,Chotila,IN,76.23,overcast clouds,22.4167,71.1833,Hotel Neptune
176,Buraydah,SA,84.65,broken clouds,26.326,43.975,Mövenpick Qassim
182,Supaul,IN,89.73,few clouds,26.1167,86.6,Shri ram guest house
183,Zhigalovo,RU,75.15,broken clouds,54.8097,105.1578,"Hotel ""Lenatur"""
184,Tura,IN,85.71,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
189,Shenjiamen,CN,81.43,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
195,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
196,Tautira,PF,76.86,light rain,-17.7333,-149.15,Pension Oaoa
199,Acarau,BR,79.2,overcast clouds,-2.8856,-40.12,castelo pizzaria
200,Mogadishu,SO,75.43,light rain,2.0371,45.3438,Hotel Juba
202,Itarema,BR,78.82,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
206,Mana,GF,77.72,overcast clouds,5.6592,-53.7767,LE SAMANA
208,Altamira,BR,75.72,overcast clouds,-3.2033,-52.2064,Requinte Hotel
211,Kollam,IN,78.57,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
212,Phan Thiet,VN,81.86,overcast clouds,10.9333,108.1,Hotel Saigon-PT
214,San Patricio,US,87.17,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
219,Korla,CN,81.61,overcast clouds,41.7597,86.1469,Gulisitan Hotel
230,Jibuti,DJ,81.63,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
231,Isla Vista,US,75.56,broken clouds,34.4133,-119.861,Best Western Plus South Coast Inn
234,Palmerston,AU,79.9,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
