City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Sabha,LY,27.0377,14.4283,80.82,28,0,13.27,clear sky
118,Tiarei,PF,-17.5333,-149.3333,82.42,79,20,14.18,few clouds
119,Nandu,CN,22.8525,110.8233,90.28,65,24,1.43,few clouds
120,Cabo San Lucas,MX,22.8909,-109.9124,87.1,67,33,12.06,scattered clouds
121,Owase,JP,34.0667,136.2,83.75,77,42,4.21,scattered clouds
122,Ancud,CL,-41.8697,-73.8203,44.22,91,100,27.76,moderate rain
123,Kundiawa,PG,-6.0167,144.9667,74.23,72,72,2.21,broken clouds
124,Hasaki,JP,35.7333,140.8333,84.29,87,100,7.56,overcast clouds
125,Kolokani,ML,13.5728,-8.0339,74.14,78,100,5.99,overcast clouds
126,Chokurdakh,RU,70.6333,147.9167,54.39,89,100,12.57,light rain
127,Aklavik,CA,68.2191,-135.0107,59.59,67,32,18.79,light rain
128,Sibu,MY,2.3,111.8167,79.11,83,40,3.44,scattered clouds
129,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,77.59,61,20,15.66,few clouds
130,Goure,NE,13.9835,10.2704,86.02,33,49,5.17,scattered clouds
131,Sibolga,ID,1.7427,98.7792,83.52,64,100,3.15,overcast clouds
132,Vila Velha,BR,-20.3297,-40.2925,69.75,95,75,0.0,broken clouds
133,Opuwo,NA,-18.0607,13.84,56.34,42,0,5.39,clear sky
134,East London,ZA,-33.0153,27.9116,57.85,66,0,5.5,clear sky
135,Pokhara,NP,28.2333,83.9833,79.72,80,61,4.34,broken clouds
136,Katsuura,JP,35.1333,140.3,78.08,84,100,5.79,overcast clouds
137,Clovis,US,36.8252,-119.7029,102.09,23,40,6.91,haze
138,Cidreira,BR,-30.1811,-50.2056,56.19,93,100,16.42,moderate rain
139,Dombarovskiy,RU,50.7587,59.5386,74.08,64,0,11.1,clear sky
140,Kamenka,RU,51.3223,42.7678,66.31,83,45,6.24,scattered clouds
141,Solhan,TR,38.9634,41.0293,64.26,69,0,5.48,clear sky
142,Evansville,US,37.9748,-87.5558,80.6,75,0,0.0,clear sky
143,Esmeraldas,BR,-19.7625,-44.3139,61.66,52,62,2.98,broken clouds
144,Srednekolymsk,RU,67.45,153.6833,89.51,39,58,12.53,broken clouds
145,Guerrero Negro,MX,27.9769,-114.0611,66.81,85,43,17.72,scattered clouds
146,Lagoa,PT,39.05,-27.9833,67.12,91,36,8.61,scattered clouds
147,Alyangula,AU,-13.8483,136.4192,73.04,55,5,15.3,clear sky
148,Namatanai,PG,-3.6667,152.4333,85.59,66,50,9.46,scattered clouds
149,Rach Gia,VN,10.0167,105.0833,79.56,89,100,27.02,overcast clouds
150,Turukhansk,RU,65.8167,87.9833,52.95,52,40,14.5,scattered clouds
151,Saint George,US,37.1041,-113.5841,106.39,11,0,9.22,clear sky
152,Namtsy,RU,62.7161,129.6658,71.53,60,85,2.15,overcast clouds
153,Huarmey,PE,-10.0681,-78.1522,61.9,86,8,9.71,clear sky
154,Namibe,AO,-15.1961,12.1522,63.86,89,2,6.98,clear sky
155,Mount Gambier,AU,-37.8333,140.7667,49.17,88,89,9.78,light rain
156,Evinayong,GQ,1.4368,10.5512,65.14,93,96,1.97,overcast clouds
157,Mecca,SA,21.4267,39.8261,84.54,31,74,3.58,broken clouds
158,Acari,PE,-15.4311,-74.6158,63.43,77,71,2.73,broken clouds
159,Santa Lucia,ES,27.9117,-15.5407,62.76,73,20,25.32,few clouds
160,Egvekinot,RU,66.3167,-179.1667,51.48,70,96,4.27,overcast clouds
161,Damietta,EG,31.4165,31.8133,78.69,80,5,6.55,clear sky
162,Saint-Francois,FR,46.4154,3.9054,58.68,100,0,2.3,clear sky
163,Chapais,CA,49.7834,-74.8492,62.38,100,95,4.32,overcast clouds
164,Ambon,ID,-3.6954,128.1814,80.74,83,40,8.05,scattered clouds
